Batch,Color,Position,Sample Name,Gene Name,Cq,Concentration,Call,Excluded,Sample Type,Standard,Cq Mean,Cq Error,Concentration Mean,Concentration Error,Replicate Group,Dye,Edited Call,Slope,EPF,Failure,Notes,Sample Prep Notes,Number
2,155;67;123;181,A1,Sample 1,None,27.83,-,Positive,Unchecked,Unknown,-,27.83,0,-,-,3,155;67;123;182,A2,Sample 2,None,28.83,-,Positive,Unchecked
2,155;67;123;181,B10,Sample 22,None,29.96,-,Positive,Unchecked,Unknown,-,29.96,0,-,-,,SYBR Green I, ,0.89,3.43,None,,,22
2,155;67;123;181,B11,Sample 23,None,33.76,-,Positive,Unchecked,Unknown,-,33.76,0,-,-,,SYBR Green I, ,1.18,4.19,None,,,23
2,155;67;123;181,B12,Sample 24,None,35.68,-,Positive,Unchecked,Unknown,-,35.68,0,-,-,,SYBR Green I, ,1.14,3.92,None,,,24
2,155;67;123;181,C1,Sample 25,None,27.53,-,Positive,Unchecked,Unknown,-,27.53,0,-,-,,SYBR Green I, ,0.75,3.36,None,,,25
2,155;67;123;181,C2,Sample 26,None,25.48,-,Positive,Unchecked,Unknown,-,25.48,0,-,-,,SYBR Green I, ,1.14,4.17,None,,,26
2,155;67;123;181,C3,Sample 27,None,32.29,-,Positive,Unchecked,Unknown,-,32.29,0,-,-,,SYBR Green I, ,0.59,2.56,None,,,27
2,155;67;123;181,C4,Sample 28,None,28.91,-,Positive,Unchecked,Unknown,-,28.91,0,-,-,,SYBR Green I, ,0.86,3.37,None,,,28
2,155;67;123;181,C5,Sample 29,None,34.54,-,Positive,Unchecked,Unknown,-,34.54,0,-,-,,SYBR Green I, ,1.04,3.93,None,,,29
2,155;67;123;181,C6,Sample 30,None,31.18,-,Positive,Unchecked,Unknown,-,31.18,0,-,-,,SYBR Green I, ,0.97,3.67,None,,,30
2,155;67;123;181,C7,Sample 31,None,27.02,-,Positive,Unchecked,Unknown,-,27.02,0,-,-,,SYBR Green I, ,0.65,3.07,None,,,31
2,155;67;123;181,C8,Sample 32,None,24.15,-,Positive,Unchecked,Unknown,-,24.15,0,-,-,,SYBR Green I, ,0.94,3.8,None,,,32
2,155;67;123;181,C9,Sample 33,None,29.19,-,Positive,Unchecked,Unknown,-,29.19,0,-,-,,SYBR Green I, ,0.54,2.79,None,,,33
2,155;67;123;181,C10,Sample 34,None,27.76,-,Positive,Unchecked,Unknown,-,27.76,0,-,-,,SYBR Green I, ,0.75,3.12,None,,,34
2,155;67;123;181,C11,Sample 35,None,29.6,-,Positive,Unchecked,Unknown,-,29.6,0,-,-,,SYBR Green I, ,1.18,4.01,None,,,35
2,155;67;123;181,C12,Sample 36,None,31.59,-,Positive,Unchecked,Unknown,-,31.59,0,-,-,,SYBR Green I, ,1.18,4.08,None,,,36
2,155;67;123;181,D1,Sample 37,None,27.3,-,Positive,Unchecked,Unknown,-,27.3,0,-,-,,SYBR Green I, ,0.85,3.61,None,,,37
2,155;67;123;181,D2,Sample 38,None,25.4,-,Positive,Unchecked,Unknown,-,25.4,0,-,-,,SYBR Green I, ,1.21,4.32,None,,,38
2,155;67;123;181,D3,Sample 39,None,31.22,-,Positive,Unchecked,Unknown,-,31.22,0,-,-,,SYBR Green I, ,0.64,2.85,None,,,39
2,155;67;123;181,D4,Sample 40,None,28.66,-,Positive,Unchecked,Unknown,-,28.66,0,-,-,,SYBR Green I, ,0.89,3.45,None,,,40
2,155;67;123;181,D5,Sample 41,None,32.07,-,Positive,Unchecked,Unknown,-,32.07,0,-,-,,SYBR Green I, ,1.35,4.38,None,,,41
2,155;67;123;181,D6,Sample 42,None,31.21,-,Positive,Unchecked,Unknown,-,31.21,0,-,-,,SYBR Green I, ,1.17,4.12,None,,,42
2,155;67;123;181,D7,Sample 43,None,27.25,-,Positive,Unchecked,Unknown,-,27.25,0,-,-,,SYBR Green I, ,0.77,3.42,None,,,43
2,155;67;123;181,D8,Sample 44,None,23.99,-,Positive,Unchecked,Unknown,-,23.99,0,-,-,,SYBR Green I, ,1.12,4.19,None,,,44
2,155;67;123;181,D9,Sample 45,None,29.37,-,Positive,Unchecked,Unknown,-,29.37,0,-,-,,SYBR Green I, ,0.64,3.06,None,,,45
2,155;67;123;181,D10,Sample 46,None,27.59,-,Positive,Unchecked,Unknown,-,27.59,0,-,-,,SYBR Green I, ,0.86,3.42,None,,,46
2,155;67;123;181,D11,Sample 47,None,30.53,-,Positive,Unchecked,Unknown,-,30.53,0,-,-,,SYBR Green I, ,1.28,4.25,None,,,47
2,155;67;123;181,D12,Sample 48,None,32,-,Positive,Unchecked,Unknown,-,32,0,-,-,,SYBR Green I, ,1.16,4.06,None,,,48
2,155;67;123;181,E1,Sample 49,None,28.13,-,Positive,Unchecked,Unknown,-,28.13,0,-,-,,SYBR Green I, ,0.83,3.49,None,,,49
2,155;67;123;181,E2,Sample 50,None,25.6,-,Positive,Unchecked,Unknown,-,25.6,0,-,-,,SYBR Green I, ,1.29,4.47,None,,,50
2,155;67;123;181,E3,Sample 51,None,30.63,-,Positive,Unchecked,Unknown,-,30.63,0,-,-,,SYBR Green I, ,0.64,2.91,None,,,51
2,155;67;123;181,E4,Sample 52,None,28.75,-,Positive,Unchecked,Unknown,-,28.75,0,-,-,,SYBR Green I, ,0.87,3.4,None,,,52
2,155;67;123;181,E5,Sample 53,None,32.45,-,Positive,Unchecked,Unknown,-,32.45,0,-,-,,SYBR Green I, ,1.14,4.15,None,,,53
2,155;67;123;181,E6,Sample 54,None,34.44,-,Positive,Unchecked,Unknown,-,34.44,0,-,-,,SYBR Green I, ,0.95,3.56,None,,,54
2,155;67;123;181,E7,Sample 55,None,27.94,-,Positive,Unchecked,Unknown,-,27.94,0,-,-,,SYBR Green I, ,0.67,3.09,None,,,55
2,155;67;123;181,E8,Sample 56,None,25.12,-,Positive,Unchecked,Unknown,-,25.12,0,-,-,,SYBR Green I, ,0.85,3.53,None,,,56
2,155;67;123;181,E9,Sample 57,None,29.36,-,Positive,Unchecked,Unknown,-,29.36,0,-,-,,SYBR Green I, ,0.56,2.83,None,,,57
2,155;67;123;181,E10,Sample 58,None,28.39,-,Positive,Unchecked,Unknown,-,28.39,0,-,-,,SYBR Green I, ,0.87,3.41,None,,,58
2,155;67;123;181,E11,Sample 59,None,32.08,-,Positive,Unchecked,Unknown,-,32.08,0,-,-,,SYBR Green I, ,1.18,4.22,None,,,59
2,155;67;123;181,E12,Sample 60,None,34.67,-,Positive,Unchecked,Unknown,-,34.67,0,-,-,,SYBR Green I, ,1.15,4.06,None,,,60
2,155;67;123;181,F1,Sample 61,None,27.87,-,Positive,Unchecked,Unknown,-,27.87,0,-,-,,SYBR Green I, ,0.83,3.51,None,,,61
2,155;67;123;181,F2,Sample 62,None,26.13,-,Positive,Unchecked,Unknown,-,26.13,0,-,-,,SYBR Green I, ,0.99,3.86,None,,,62
2,155;67;123;181,F3,Sample 63,None,31.37,-,Positive,Unchecked,Unknown,-,31.37,0,-,-,,SYBR Green I, ,0.55,2.55,None,,,63
2,155;67;123;181,F4,Sample 64,None,28.96,-,Positive,Unchecked,Unknown,-,28.96,0,-,-,,SYBR Green I, ,0.91,3.48,None,,,64
2,155;67;123;181,F5,Sample 65,None,32.91,-,Positive,Unchecked,Unknown,-,32.91,0,-,-,,SYBR Green I, ,1.15,4.1,None,,,65
2,155;67;123;181,F6,Sample 66,None,33.46,-,Positive,Unchecked,Unknown,-,33.46,0,-,-,,SYBR Green I, ,1.14,4.02,None,,,66
2,155;67;123;181,F7,Sample 67,None,27.49,-,Positive,Unchecked,Unknown,-,27.49,0,-,-,,SYBR Green I, ,0.72,3.25,None,,,67
2,155;67;123;181,F8,Sample 68,None,25.03,-,Positive,Unchecked,Unknown,-,25.03,0,-,-,,SYBR Green I, ,1.12,4.14,None,,,68
2,155;67;123;181,F9,Sample 69,None,30,-,Positive,Unchecked,Unknown,-,30,0,-,-,,SYBR Green I, ,0.43,2.33,None,,,69
2,155;67;123;181,F10,Sample 70,None,28.57,-,Positive,Unchecked,Unknown,-,28.57,0,-,-,,SYBR Green I, ,0.81,3.23,None,,,70
2,155;67;123;181,F11,Sample 71,None,31.87,-,Positive,Unchecked,Unknown,-,31.87,0,-,-,,SYBR Green I, ,1.08,4.05,None,,,71
2,155;67;123;181,F12,Sample 72,None,32.98,-,Positive,Unchecked,Unknown,-,32.98,0,-,-,,SYBR Green I, ,1.07,3.84,None,,,72
2,155;67;123;181,G1,Sample 73,None,27.97,-,Positive,Unchecked,Unknown,-,27.97,0,-,-,,SYBR Green I, ,0.83,3.54,None,,,73
2,155;67;123;181,G2,Sample 74,None,25.65,-,Positive,Unchecked,Unknown,-,25.65,0,-,-,,SYBR Green I, ,1.11,4.1,None,,,74
2,155;67;123;181,G3,Sample 75,None,31.18,-,Positive,Unchecked,Unknown,-,31.18,0,-,-,,SYBR Green I, ,0.6,2.73,None,,,75
2,155;67;123;181,G4,Sample 76,None,29.33,-,Positive,Unchecked,Unknown,-,29.33,0,-,-,,SYBR Green I, ,0.89,3.43,None,,,76
2,155;67;123;181,G5,Sample 77,None,31.52,-,Positive,Unchecked,Unknown,-,31.52,0,-,-,,SYBR Green I, ,1.16,4.24,None,,,77
2,155;67;123;181,G6,Sample 78,None,31.15,-,Positive,Unchecked,Unknown,-,31.15,0,-,-,,SYBR Green I, ,1.13,4.01,None,,,78
2,155;67;123;181,G7,Sample 79,None,27.02,-,Positive,Unchecked,Unknown,-,27.02,0,-,-,,SYBR Green I, ,0.72,3.26,None,,,79
2,155;67;123;181,G8,Sample 80,None,24.54,-,Positive,Unchecked,Unknown,-,24.54,0,-,-,,SYBR Green I, ,1.1,4.15,None,,,80
2,155;67;123;181,G9,Sample 81,None,28.38,-,Positive,Unchecked,Unknown,-,28.38,0,-,-,,SYBR Green I, ,0.55,2.8,None,,,81
2,155;67;123;181,G10,Sample 82,None,28.92,-,Positive,Unchecked,Unknown,-,28.92,0,-,-,,SYBR Green I, ,0.82,3.25,None,,,82
2,155;67;123;181,G11,Sample 83,None,30.48,-,Positive,Unchecked,Unknown,-,30.48,0,-,-,,SYBR Green I, ,1.18,4.05,None,,,83
2,155;67;123;181,G12,Sample 84,None,31.8,-,Positive,Unchecked,Unknown,-,31.8,0,-,-,,SYBR Green I, ,1.17,4.06,None,,,84
2,155;67;123;181,H1,Sample 85,None,28.2,-,Positive,Unchecked,Unknown,-,28.2,0,-,-,,SYBR Green I, ,0.8,3.43,None,,,85
2,155;67;123;181,H2,Sample 86,None,25.44,-,Positive,Unchecked,Unknown,-,25.44,0,-,-,,SYBR Green I, ,1.19,4.26,None,,,86
2,155;67;123;181,H3,Sample 87,None,31.09,-,Positive,Unchecked,Unknown,-,31.09,0,-,-,,SYBR Green I, ,0.65,2.89,None,,,87
2,155;67;123;181,H4,Sample 88,None,28.77,-,Positive,Unchecked,Unknown,-,28.77,0,-,-,,SYBR Green I, ,0.8,3.21,None,,,88
2,155;67;123;181,H5,Sample 89,None,30.6,-,Positive,Unchecked,Unknown,-,30.6,0,-,-,,SYBR Green I, ,1.27,4.31,None,,,89
2,155;67;123;181,H6,Sample 90,None,31.15,-,Positive,Unchecked,Unknown,-,31.15,0,-,-,,SYBR Green I, ,1.22,4.17,None,,,90
2,155;67;123;181,H7,Sample 91,None,26.85,-,Positive,Unchecked,Unknown,-,26.85,0,-,-,,SYBR Green I, ,0.55,2.73,None,,,91
2,155;67;123;181,H8,Sample 92,None,24.33,-,Positive,Unchecked,Unknown,-,24.33,0,-,-,,SYBR Green I, ,1.21,4.32,None,,,92
2,155;67;123;181,H9,Sample 93,None,29.11,-,Positive,Unchecked,Unknown,-,29.11,0,-,-,,SYBR Green I, ,0.58,2.9,None,,,93
2,155;67;123;181,H10,Sample 94,None,28.6,-,Positive,Unchecked,Unknown,-,28.6,0,-,-,,SYBR Green I, ,0.73,3.11,None,,,94
2,155;67;123;181,H11,Sample 95,None,30.79,-,Positive,Unchecked,Unknown,-,30.79,0,-,-,,SYBR Green I, ,1.23,4.15,None,,,95
2,155;67;123;181,H12,Sample 96,None,31.88,-,Positive,Unchecked,Unknown,-,31.88,0,-,-,,SYBR Green I, ,1.06,3.88,None,,,96
